MergeSort QuickSort TimSort OESM Cook_Kim InsertionSort LIS BothAlgo2 TwoMomentSort DDS 
10 21 10
853904 853904 853904 853904 853904 853904 853904 853904 853904 853904 
919576 919538 919436 919580 920026 919455 919715 919806 919211 919797 
941967 942041 941968 942029 941817 942093 941842 941895 942012 941283 
955793 956317 955696 956147 955608 955737 956674 955785 956502 955597 
966310 966411 966574 966407 966600 966108 966383 966327 966766 966284 
974886 974606 974945 974672 974357 974956 974517 975019 974684 975252 
982438 981144 982672 981871 981528 981923 981669 981204 981454 981807 
987934 987921 987600 987858 987924 987997 987911 987925 988705 987968 
993635 992939 992898 993112 993479 992484 992970 992259 992783 993057 
997866 997297 998132 997451 998024 997752 997259 997973 997741 997873 
1002431 1002178 1001197 1001039 1002127 1002011 1001553 1002009 1002181 1001865 
1005753 1005367 1005636 1005777 1005351 1006484 1005280 1005467 1005869 1005564 
1008957 1009472 1009049 1009338 1009706 1009430 1008751 1009744 1009406 1009255 
1012338 1012210 1012437 1012312 1011883 1011995 1012328 1012699 1013267 1012858 
1016089 1015695 1015392 1015860 1015470 1015079 1015439 1014792 1015695 1015688 
1017691 1018265 1018245 1018365 1018419 1017952 1018701 1018179 1018903 1017588 
1020094 1020750 1021050 1021025 1020204 1021335 1020696 1020309 1021100 1020818 
1023700 1022919 1023279 1023790 1023729 1023520 1023524 1022864 1023066 1022796 
1025424 1025860 1025688 1024914 1025649 1025991 1025125 1025532 1026104 1026019 
1027466 1028272 1027642 1027778 1027566 1027237 1028414 1027353 1028094 1027940 
1030802 1029588 1029880 1029967 1029204 1030209 1030357 1030359 1030698 1030034 
1954357 2068100 2003171 2071073 2153748 2009826 2061052 2100338 2051766 2030573 
1889867 1962106 1925039 2072219 2056165 2000386 2006025 2125206 1899241 2020110 
2004060 2007713 2006107 2034608 2050923 2047675 1952955 2035381 2026267 2047898 
2008314 1998869 2126429 2037892 1965866 1939573 1911258 2008369 2120427 1949993 
2102803 1959207 1974413 2093152 2070038 1952591 2012063 2004417 1910580 2014110 
2009922 2019150 1977018 1981901 2090290 2118846 2022493 1970194 2094555 2030002 
2059027 1925032 2009885 1969810 2084946 1988617 2013859 2031771 1979764 2057813 
2002500 2032547 2093343 1955630 1962781 2010720 1976368 1954248 2039266 2006948 
1995543 2097182 2193806 2034239 2032361 1963651 1989626 2024777 1956049 2052716 
2006331 2080263 2099386 2142698 2050660 2074314 2010131 1923529 1941129 1981407 
1899536 1998604 2035828 1998888 1936792 1976749 2047914 1973047 1995459 1928437 
2033799 1977559 2072905 2045075 2047509 1989892 1924617 2033843 2072784 2045973 
1978538 2029877 2011138 2017905 2143744 2062551 1985106 2051973 2097736 1917393 
1985837 1995233 2029964 2003992 2013279 2009496 2061325 2026505 1944848 1999709 
1997407 1994976 1931708 2119441 2081580 2009004 2057716 2015079 2003447 2015085 
1925804 2058610 2039826 2082835 2022427 2039482 1937288 1966484 1996531 1988781 
2064951 2033400 2007233 2131366 2074870 1955488 1930431 2113248 1975612 1996301 
2107716 1994988 2009879 2068378 1958350 2136759 1973043 2032563 1984613 2044710 
1963314 2007879 2095113 2000007 2058635 2040114 2076660 2074161 1985927 1975319 
2159015 2022019 2017884 2048692 2037393 1986641 1982318 2067654 2049766 2005844 
1913026 1978861 2136472 1996556 1950122 1942149 1964674 2003793 1983557 1925097 
