MergeSort QuickSort TimSort OESM Cook_Kim InsertionSort LIS BothAlgo2 TwoMomentSort DDS 
10 21 10
69008 69008 69008 69008 69008 69008 69008 69008 69008 69008 
72727 72782 72794 72747 72940 72693 72829 72708 72790 72809 
74436 74442 74373 74188 74449 74337 74291 74370 74281 74341 
75503 75473 75456 75571 75522 75421 75417 75245 75451 75387 
76414 76354 76235 76315 76314 76405 76388 76362 76351 76528 
77018 77107 77121 76960 76913 77122 77014 76965 77001 76828 
77532 77727 77722 77526 77632 77693 77647 77472 77474 77564 
78089 78219 77980 78202 78075 78109 78070 78198 78074 78305 
78439 78557 78475 78469 78682 78448 78518 78623 78437 78569 
78924 79159 78708 79080 78936 78980 78987 78728 78966 78901 
79366 79270 79254 79236 79227 79213 79636 79417 79360 79413 
79559 79527 79648 79678 79714 79720 79586 79688 79681 79626 
80010 80046 80242 79999 80112 80216 79918 80030 79938 79939 
80461 80416 80153 80355 80311 80551 80344 80158 80384 80461 
80545 80616 80507 80744 80455 80560 80645 80557 80510 80597 
80760 80937 80823 80948 80883 80798 80549 80849 80824 80747 
81090 80889 80897 80949 80966 81134 80817 80962 81017 81107 
81310 81385 81220 81415 81362 81330 81182 81268 81490 81268 
81559 81506 81601 81432 81555 81369 81559 81454 81593 81517 
81832 81627 81895 81711 81822 81838 82014 81575 81664 81874 
81830 81907 81889 82029 81776 81800 81845 82118 81957 82073 
147308 152001 152896 152561 151386 155628 154766 160317 156108 155078 
154666 148536 158358 153792 162594 163705 159044 168497 160314 153048 
147997 146112 150214 165723 153101 171006 154251 154978 149714 154941 
166568 154123 157514 147659 157647 150963 152889 149451 151349 162726 
154602 153298 161779 155085 159160 149591 149194 152472 149226 149293 
158381 166481 154474 158914 147642 156821 155044 167199 164730 149422 
164944 154201 151853 154322 156032 150244 149793 161962 159519 162931 
152765 158580 150672 165144 159026 161050 160022 169543 150869 171559 
155761 149277 154296 154200 151636 160636 149673 157282 155170 161544 
155292 152229 148498 165171 161291 163435 148698 157632 147616 151350 
160218 160067 159870 151561 156984 151239 153492 148551 170169 147363 
149698 154204 165302 156316 159787 153444 143964 147975 151854 155495 
147842 155962 156962 156134 157885 148822 151919 148662 153919 150322 
146596 161417 149960 150677 162406 158239 151693 151418 154126 151684 
166560 159071 159202 150146 149843 162181 147697 158923 149164 146541 
156213 149590 152258 157288 168757 161972 156943 154267 142998 154731 
155164 153117 154647 164687 152170 151738 156288 148376 155884 176865 
160387 160419 151053 148390 157734 158862 157923 152479 151185 167965 
159355 152959 159183 146040 152508 155403 148548 159662 154720 154751 
148309 148562 155819 154272 158202 154351 157726 158158 154093 159957 
145133 155181 160196 153800 153249 151225 155136 155323 162297 150501 
56407 56407 56407 56407 56407 56407 56407 56407 56407 56407 
66050 66224 66049 66092 66351 65973 66010 66123 66141 66202 
70633 70885 70597 70576 70793 70868 70842 70910 70590 70821 
74181 74346 74036 74298 74514 74355 74166 73781 74322 74021 
77184 76827 76829 77118 77017 77271 77043 76921 77120 76935 
79206 79643 79639 79093 79617 79614 79159 79468 79408 78981 
81361 81465 81281 81409 81609 81573 81658 81506 81057 81499 
83162 83640 83064 83065 83312 83528 83593 83650 83063 83246 
84631 85279 85182 84824 85047 84852 85397 85060 85469 84943 
86870 86788 86394 86964 86702 86603 86516 86659 86414 86672 
87954 87522 87994 87405 88136 87977 88316 87861 88022 88246 
88837 89204 89227 89370 89688 89304 89623 89710 89651 89231 
90679 90500 90638 90641 90854 90777 90388 90251 90352 90410 
92123 91915 91270 91633 91654 91943 91938 91440 91713 92083 
