MergeSort QuickSort TimSort OESM Cook_Kim InsertionSort LIS BothAlgo2 TwoMomentSort DDS 
92972 92771 92524 93025 92924 93032 92575 92750 92693 92611 
93905 94299 93473 93645 93685 93718 94271 93621 93984 93894 
94817 94942 94476 95073 95137 95276 94568 94530 94583 94693 
95353 95561 95410 95506 95949 95522 95716 96070 95907 95884 
96980 96678 96483 96485 96459 96135 96628 96379 96204 96962 
97143 97177 97575 97564 97073 97612 97468 96961 97460 97260 
97871 98067 98235 98287 97977 98069 98626 99040 97932 98184 
9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 
65462 66408 66254 66656 65238 67143 65405 67110 65886 64936 
71371 71260 71215 71504 71911 71582 71253 71352 72123 71662 
71753 71736 71676 71946 71735 71230 71577 71403 71539 72064 
74187 72788 73634 73267 74024 74211 73917 73881 72813 73601 
76908 77077 76467 76707 77111 77258 75496 77139 76261 77087 
80427 79205 79765 79396 79232 80021 79020 79777 79301 79810 
81779 83112 81401 81281 81388 82243 82066 81910 82559 81888 
82212 83916 83576 83188 83300 83575 83210 83073 83362 83416 
84793 84856 83887 84452 84787 84510 84680 83785 84812 84600 
85378 85286 85417 85220 85186 85198 85269 84815 84806 85653 
85566 85157 85645 85338 85601 85714 85540 85078 85527 85227 
85716 85592 85972 85787 85396 85911 85789 85556 85766 86022 
85668 85589 86244 85787 85808 86288 86003 85830 85839 85942 
86017 85906 86184 85935 85791 86478 85885 86371 86108 85871 
86211 86279 86138 85790 85851 86005 85749 85968 86229 86108 
86256 86439 86261 86046 86108 86268 85996 86286 86049 86192 
86309 86236 86413 85828 86135 86285 86215 86449 86435 85977 
86052 86477 86439 86256 86010 85982 86258 86187 86338 86015 
86199 86440 86208 86462 86086 86289 86322 86288 86578 86183 
86566 86228 86366 86704 86587 86450 86540 86732 86533 86697 
9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 
52429 52676 52523 52477 53505 51975 51815 52749 52222 52207 
62985 62741 62227 62289 62883 63291 63426 62866 62271 62116 
70625 71784 70702 70873 71491 71761 71060 70799 72250 70958 
78262 78037 77440 78318 78592 78687 77784 77858 77302 77753 
82881 83229 83668 82347 83831 83436 83299 82659 83085 82536 
88500 88717 87837 87673 88424 89900 88272 88707 88887 89989 
91729 94763 91832 92980 93073 93418 93505 94500 92761 94044 
97525 98089 97766 96288 97180 96837 98773 97918 98277 98161 
100459 99723 102071 102619 100461 101938 102205 101511 100586 101911 
103646 104904 105093 104707 104732 105658 105844 104550 105134 105965 
108009 108540 108876 107938 110122 108163 108952 109477 108923 107645 
110888 110718 111463 112196 111964 112109 111247 110030 110442 112497 
115101 115452 113792 114622 114955 116298 114412 113961 117099 114752 
119253 118375 119248 118244 117884 118118 118254 118200 118775 119114 
121338 120823 121042 119994 120343 119935 120034 120594 121245 120414 
123415 124579 123223 122387 125478 123985 122613 124183 124530 122227 
125852 127968 126355 127382 126819 125094 124153 127083 126062 126362 
129055 128090 128772 128501 128595 126649 128121 126911 127982 128580 
132105 130607 131968 129934 129695 131678 131012 130090 130380 131083 
133559 131677 132683 134190 131170 133551 132864 133013 133474 132498 
9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 
20163 20311 20150 20197 20423 20015 20113 20277 20235 20307 
25260 25424 25177 25234 25422 25473 25464 25513 25120 25491 
29237 29421 29324 29417 29635 29591 29473 28931 29669 29185 
32947 32639 32586 33010 32991 33091 32881 32670 32860 32795 
35736 36031 35797 35526 36089 35831 35331 35557 35723 35383 
38446 38360 38202 38316 38551 38746 38478 38499 38223 38713 
40522 41431 40600 40683 40944 40803 41156 41117 40525 41048 
43016 43404 43187 42862 43341 42799 43459 43179 43503 42992 
45513 45569 44912 45656 45214 45333 45315 45380 45099 45422 
47045 47061 47401 47056 47337 47655 47938 47280 47273 47657 
48785 48993 48910 49096 49754 49023 49516 49371 49539 49438 
51083 51287 51345 50960 51616 51472 50950 50764 50873 51081 
53104 53402 52377 53145 53099 53210 52929 52713 53654 53098 
54846 54472 54737 55077 54874 55130 54625 54508 54645 54431 
56493 56797 56012 55958 56640 56034 56016 56374 56622 56055 
57987 57958 57628 57348 58314 58526 57507 57685 57982 57903 
59487 59695 59671 59577 59823 59596 59357 59665 59851 59346 
60983 60890 61226 60763 60795 60157 60511 60694 61109 60664 
62573 62329 62827 62173 62054 62500 63135 61853 62718 62562 
63610 63919 63803 63592 63102 64128 64393 64985 63946 64316 
19997 19997 19997 19997 19997 19997 19997 19997 19997 19997 
35792 36223 35866 35782 36309 35883 35692 35812 35939 35961 
43136 43198 43222 42685 43404 43386 43192 43502 42860 43186 
47946 48338 48118 48704 48700 48782 48017 47642 48731 48032 
52328 52374 51808 52152 52646 52535 51737 52079 52199 51929 
55223 55395 55539 55066 55305 55119 55436 55050 55006 54465 
57502 57834 57918 57991 57868 58208 57787 57635 57558 58385 
59620 60392 59936 60272 60321 60283 60237 60375 60302 60512 
62339 62615 62052 61889 62051 61909 61996 62136 62554 62174 
64468 64437 63700 64461 63902 64270 64389 64141 63830 64250 
65317 65664 66418 65702 65745 66296 66207 65876 65891 66036 
67209 67542 67228 67154 67892 67476 67346 67694 67856 67515 
68682 68748 68648 68872 69931 68964 68543 68756 68635 68718 
70579 70904 69797 69943 70480 70354 70323 69755 70849 70278 
71248 71672 71865 71824 71709 71570 71766 71492 71558 71340 
72652 73306 72881 72664 73100 72142 72296 72767 73204 72383 
73872 73707 73545 73449 74178 74452 73897 73968 73948 73629 
75159 75211 74624 75314 74804 74829 74924 74864 74901 74669 
75135 75977 75881 75513 75997 75270 76154 75639 75992 75499 
77160 77026 77609 76588 76854 77054 76772 76529 77411 76709 
77914 77896 78022 78075 77713 77903 78067 78018 78027 78098 
9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 
34320 34337 34219 34308 34600 34066 34169 34487 34376 34420 
39338 39756 39446 39630 39639 39641 39699 39759 39247 39879 
42913 43276 43235 43323 43568 43557 43171 42956 43426 43208 
46447 46041 46182 46468 46243 46581 46396 46154 46300 46105 
48562 49055 48609 48195 48777 48709 47999 48601 48420 48344 
50522 50931 50662 50283 50787 50829 50690 50745 50327 50727 
51867 52847 52124 52478 52553 52431 52583 52667 52173 52624 
53871 54209 53970 53707 54172 53899 54008 54166 54335 53812 
55095 55978 55128 55884 55317 55464 55624 55244 55633 55759 
56498 56628 56931 56516 56705 56990 57242 56929 56920 57127 
57643 57830 57730 58271 57978 57835 58116 58017 57819 57954 
59095 59545 59427 59120 59739 59586 59150 59234 59095 58904 
60395 60533 59913 60156 60136 60676 60010 60163 61081 60697 
61382 61262 61277 61818 61013 61617 61355 60883 61054 60866 
62430 62628 61965 62289 62102 62267 61425 62170 62333 62163 
63071 63190 62774 63001 62849 63577 62700 62746 62948 63202 
63728 63624 63830 63692 64009 63732 63767 63837 64144 63749 
64877 64310 65045 64243 64948 64220 64650 64639 64506 64534 
65744 65387 65922 65633 65367 65487 65678 65281 65533 65764 
66352 66375 66300 66326 66130 66452 66702 67095 66257 66585 
9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 
33812 33818 33776 33845 33981 33746 33705 33834 33883 33826 
36215 36205 36207 36179 36235 36230 36250 36275 36079 36286 
38594 38653 38545 38689 38788 38745 38582 38465 38759 38567 
40044 40058 39939 40103 40097 40131 40031 39965 40092 39983 
40950 41014 40926 40926 41069 40896 40784 40860 40944 40837 
41569 41557 41517 41689 41635 41576 41597 41632 41522 41678 
42141 42219 42073 42112 42214 42108 42193 42157 42150 42169 
42688 42729 42757 42525 42641 42549 42691 42716 42726 42592 
43113 43147 43002 43157 43110 43108 43035 43122 43063 43117 
43403 43494 43522 43420 43481 43566 43599 43500 43536 43575 
43778 43858 43864 43850 44037 43891 43959 43871 44009 43937 
44282 44273 44330 44201 44354 44318 44281 44158 44249 44280 
44650 44620 44515 44708 44670 44679 44610 44566 44841 44634 
45065 44924 44995 45100 45119 45107 45016 44911 45022 44894 
45342 45379 45274 45262 45363 45227 45297 45283 45381 45258 
45648 45599 45575 45516 45712 45769 45576 45625 45701 45643 
45973 46030 45970 46019 46012 46000 45939 46019 46026 46003 
46234 46297 46213 46196 46214 46054 46152 46185 46271 46203 
46548 46532 46624 46488 46400 46533 46664 46367 46548 46574 
46745 46779 46837 46801 46657 46863 46913 46995 46865 46856 
9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 
26897 27347 26902 27368 27956 26499 26281 27070 26924 27562 
37821 38201 38167 38056 38772 39163 38781 38471 38676 38626 
45865 45758 45411 45732 45396 46036 46110 44664 45623 44968 
50566 49764 49926 50157 50147 50129 50411 50019 50265 50168 
53732 53907 54013 52784 53262 53819 53544 53031 53949 53181 
56420 56458 55746 56109 56631 57241 56093 56947 56082 56433 
58349 59298 58678 57939 58122 58306 58513 58741 57889 58858 
59647 60199 59318 60122 60703 59900 60452 59527 60203 60434 
62157 61527 61436 61740 61772 61380 61841 61861 61204 61857 
63456 62380 63078 63156 63018 62856 63400 62483 63022 63237 
64177 64228 64478 63963 64578 63688 64374 64295 64590 64728 
65393 65093 64831 64683 64972 65374 64971 65182 64637 65187 
66541 66473 65346 66322 66266 66434 66608 65804 66223 66082 
66761 66644 67090 67419 67063 67807 66849 66729 67414 67473 
67432 68435 68166 67741 68025 67804 67445 68516 68492 67219 
68741 68144 68518 67981 69382 69042 68325 68010 68697 68892 
69380 69484 69569 69346 69474 69816 69528 69597 69615 69071 
70016 70446 69919 70031 69574 69221 69793 70006 69913 70028 
70017 69888 70301 70051 70271 70761 71165 69716 70854 70342 
70576 71095 71146 70812 70380 70595 70973 71101 70502 71004 
